Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;02/10/05;Cadiz;Celta;1;1;D;1;1;D;11;8;6;5;26;18;3;3;2;4;0;0;2.5;3.2;2.75;2.49;3.11;2.59;2.05;1.68;1.83;2.01
SP1;02/10/05;La Coruna;Osasuna;0;1;A;0;1;A;12;7;1;4;24;25;2;5;1;3;0;0;1.66;3.4;5.5;1.63;3.36;5.01;2.01;1.72;1.96;1.9
SP1;02/10/05;Malaga;Ath Madrid;0;2;A;0;1;A;7;14;2;7;19;20;4;6;3;4;0;0;2.4;3.25;2.8;2.34;3.14;2.78;2.06;1.68;1.82;2.02
SP1;02/10/05;Real Madrid;Mallorca;4;0;H;2;0;H;16;11;8;3;17;18;9;5;0;2;0;1;1.25;5.0;13.0;1.21;5.17;10.66;1.6;2.17;1.81;2.03
SP1;02/10/05;Santander;Alaves;1;2;A;0;1;A;9;9;4;3;26;9;6;2;3;1;0;0;1.9;3.25;4.0;1.89;3.18;3.8;2.12;1.63;2.04;1.81
SP1;02/10/05;Sevilla;Espanol;1;1;D;0;1;A;12;8;3;3;13;11;9;2;3;1;0;0;1.9;3.25;4.0;1.84;3.22;3.91;2.12;1.63;1.83;2.02
SP1;02/10/05;Sociedad;Betis;1;1;D;0;1;A;16;11;5;3;14;25;4;5;2;2;0;0;2.5;3.2;2.75;2.28;3.16;2.83;1.94;1.78;2.04;1.82
SP1;02/10/05;Villarreal;Ath Bilbao;3;1;H;1;1;D;19;10;6;5;11;15;7;2;3;3;0;1;1.83;3.3;4.33;1.81;3.22;4.04;1.94;1.78;1.87;1.98
SP1;15/10/05;Alaves;Villarreal;1;1;D;1;1;D;12;9;4;4;16;18;12;2;2;5;0;0;2.62;3.2;2.37;2.69;3.12;2.44;1.94;1.78;1.93;1.9
SP1;15/10/05;Ath Madrid;Real Madrid;0;3;A;0;1;A;15;14;3;7;16;16;7;5;5;2;1;0;3.0;3.25;2.1;3.15;3.16;2.12;1.76;1.94;1.94;1.92
SP1;15/10/05;La Coruna;Barcelona;3;3;D;1;2;A;9;13;4;6;19;18;2;3;4;4;0;0;3.0;3.25;2.1;3.35;3.16;2.04;1.89;1.83;1.76;2.1
SP1;16/10/05;Ath Bilbao;Sevilla;0;1;A;0;1;A;21;10;3;3;9;17;6;3;1;2;1;0;2.2;3.25;2.8;2.12;3.15;3.22;2.04;1.67;1.86;2.01
