Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BbAvH,BbAvD,BbAvA,BbAv>2.5,BbAv<2.5,BbAvAHH,BbAvAHA,temp_max,lluvia_mm,viento_kmh
SP1,24/10/1993,Sp Gijon,Vallecano,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,3.7,13.0
SP1,24/10/1993,Valencia,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,0.0,11.3
SP1,24/10/1993,Zaragoza,La Coruna,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,0.0,28.6
SP1,31/10/1993,Ath Bilbao,Valladolid,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,1.2,13.6
SP1,31/10/1993,Ath Madrid,Barcelona,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,7.0,6.6
SP1,31/10/1993,La Coruna,Osasuna,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.4,9.1
SP1,31/10/1993,Lerida,Sevilla,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,1.6,15.5
SP1,31/10/1993,Logrones,Sp Gijon,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,1.0,13.2
SP1,31/10/1993,Oviedo,Zaragoza,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,0.0,9.4
SP1,31/10/1993,Santander,Albacete,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,0.4,17.4
SP1,31/10/1993,Tenerife,Sociedad,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,0.0,24.9
SP1,31/10/1993,Valencia,Celta,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,3.1,8.0
SP1,31/10/1993,Vallecano,Real Madrid,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,6.2,8.0
